id,url,domain
14330,https://www.dailymail.co.uk/wires/pa/article-15326803/Puffin-numbers-quarter-Farne-Islands-annual-survey-shows.html,dailymail.co.uk
14331,https://www.dailymail.co.uk/wires/pa/article-15326799/Reeves-vows-make-fair-necessary-choices-Budget-day-dawns.html,dailymail.co.uk
14332,https://www.dailymail.co.uk/wires/pa/article-15326797/MSP-seeks-consensus-Holyrood-Bill-criminalise-buy-sex.html,dailymail.co.uk
14333,https://www.dailymail.co.uk/wires/pa/article-15326795/Inquiry-rogue-surgeon-hear-opening-statements.html,dailymail.co.uk
14334,https://www.dailymail.co.uk/wires/pa/article-15326793/SNP-calls-Chancellor-help-not-hammer-families-Budget.html,dailymail.co.uk
14335,https://www.dailymail.co.uk/wires/pa/article-15326791/Enzo-Maresca-plays-Chelsea-s-Champions-League-dismantling-Barcelona.html,dailymail.co.uk
14336,https://www.dailymail.co.uk/wires/ap/article-15326789/Man-fatally-attacked-San-Francisco-woman-life-prison.html,dailymail.co.uk
14337,https://www.dailymail.co.uk/wires/pa/article-15324475/Swimming-sites-slight-water-quality-improvement-dozens-fail-pollution.html,dailymail.co.uk
14338,https://www.dailymail.co.uk/wires/pa/article-15324473/Prompt-conclusion-Sheku-Bayoh-inquiry-public-says-Forbes.html,dailymail.co.uk
14339,https://www.dailymail.co.uk/wires/pa/article-15324447/Jewelled-golden-hare-picture-book-Masquerade-sell-20-000.html,dailymail.co.uk
14340,https://www.dailymail.co.uk/wires/pa/article-15324423/Zelensky-Starmer-discuss-steps-effort-Ukraine-peace-deal.html,dailymail.co.uk
14341,https://www.dailymail.co.uk/wires/ap/article-15324419/Japans-leader-says-Trump-called-dispute-China-doesnt-away.html,dailymail.co.uk
14342,https://www.dailymail.co.uk/sport/football/article-15324415/El-testarudo-El-incomprensible-Ruben-Amorim-Manchester-United-criticado-Carragher-Liverpool.html,dailymail.co.uk
14343,https://www.dailymail.co.uk/wires/aap/article-15324399/Lee-sets-new-Aussie-golf-mark-fourth-Norman-medal.html,dailymail.co.uk
14344,https://www.dailymail.co.uk/wires/aap/article-15324403/Adelaide-pip-Brisbane-Heat-final-ball-WBBL-thriller.html,dailymail.co.uk
14345,https://www.dailymail.co.uk/wires/pa/article-15324401/Hong-Kong-challenge-cap-memorable-year-Buick.html,dailymail.co.uk
14346,https://www.dailymail.co.uk/wires/pa/article-15324393/Number-reported-rapes-Scotland-11-year-figures-show.html,dailymail.co.uk
14347,https://www.dailymail.co.uk/wires/pa/article-15324391/Boy-15-dies-unwell-school-bus.html,dailymail.co.uk
14348,https://www.dailymail.co.uk/snapchat/article-15324387/Kim-Kardashian-beams-pride-son-Psalm-six-makes-voice-acting-debut-Angry-Birds-Movie-3.html,dailymail.co.uk
